Generation 316: 22.7223:       2053Generation 316: 0.584412
Generation 317: 22.7223:       2050Generation 317: 0.584412
Generation 318: 22.7223:       2047Generation 318: 0.584412
Generation 319: 22.7223:       2044Generation 319: 0.584412
Generation 320: 22.7223:       2041Generation 320: 0.584412
Generation 321: 22.7223:       2038Generation 321: 0.584412
Generation 322: 22.7223:       2035Generation 322: 0.584412
Generation 323: 22.7223:       2032Generation 323: 0.584412
Generation 324: 22.7223:       2029Generation 324: 0.584412
Generation 325: 22.7223:       2026Generation 325: 0.584412
Generation 326: 22.7223:       2023Generation 326: 0.584412
Generation 327: 22.7223:       2020Generation 327: 0.584412
Generation 328: 22.7223:       2017Generation 328: 0.584412
Generation 329: 22.7223:       2014Generation 329: 0.584412
Generation 330: 22.7223:       2011Generation 330: 0.584412
Generation 331: 22.7223:       2008Generation 331: 0.584412
Generation 332: 22.7223:       2005Generation 332: 0.584412
Generation 333: 22.7223:       2002Generation 333: 0.584412
Generation 334: 22.7223:       1999Generation 334: 0.584412
Generation 335: 22.7223:       1996Generation 335: 0.584412
Generation 336: 22.7223:       1993Generation 336: 0.584412
Generation 337: 22.7223:       1990Generation 337: 0.584412
Generation 338: 22.7223:       1987Generation 338: 0.584412
Generation 339: 22.7223:       1984Generation 339: 0.584412
Generation 340: 22.7223:       1981Generation 340: 0.584412
Generation 341: 22.7223:       1978Generation 341: 0.584412
Generation 342: 22.7223:       1975Generation 342: 0.584412
Generation 343: 22.7223:       1972Generation 343: 0.584412
Generation 344: 22.7223:       1969Generation 344: 0.584412
Generation 345: 22.7223:       1966Generation 345: 0.584412
Generation 346: 22.7223:       1963Generation 346: 0.584412
Generation 347: 22.7223:       1960Generation 347: 0.584412
Generation 348: 22.7223:       1957Generation 348: 0.584412
Generation 349: 22.7223:       1954Generation 349: 0.584412
Generation 350: 22.7223:       1951Generation 350: 0.584412
Generation 351: 22.7223:       1948Generation 351: 0.584412
Generation 352: 22.7223:       1945Generation 352: 0.584412
Generation 353: 22.7223:       1942Generation 353: 0.584412
Generation 354: 22.7223:       1939Generation 354: 0.584412
Generation 355: 22.7223:       1936Generation 355: 0.584412
Generation 356: 22.7223:       1933Generation 356: 0.584412
Generation 357: 22.7223:       1930Generation 357: 0.584412
Generation 358: 22.7223:       1927Generation 358: 0.584412
Generation 359: 22.7223:       1924Generation 359: 0.584412
Generation 360: 22.7223:       1921Generation 360: 0.584412
Generation 361: 22.7223:       1918Generation 361: 0.584412
Generation 362: 22.7223:       1915Generation 362: 0.584412
Generation 363: 22.7223:       1912Generation 363: 0.584412
Generation 364: 22.7223:       1909Generation 364: 0.584412
Generation 365: 22.7223:       1906Generation 365: 0.584412
Generation 366: 22.7223:       1903Generation 366: 0.584412
Generation 367: 22.7223:       1900Generation 367: 0.584412
Generation 368: 22.7223:       1897Generation 368: 0.584412
Generation 369: 22.7223:       1894Generation 369: 0.584412
Generation 370: 22.7223:       1891Generation 370: 0.584412
